Clave CT,Nombre CT,Clave Turno,Descripción Turno,Zona Escolar,Descripción Mpio.,Descripción Cat. Pob.,Longitud,Latitud,Docentes,Nivel,Modalidad
11DPR3122H,JUAN JOSE DE LOS REYES,1,Matutino,1,Guanajuato,R Rural,-101.25201,20.94942,0,PRIMARIA,General Federal
11DPR2208G,JOSE MA MORELOS Y PAVON,1,Matutino,156,San Felipe,R Rural,-101.25259,21.2861,1,PRIMARIA,General Federal
11DPR0108U,MELCHOR OCAMPO,1,Matutino,124,Salamanca,R Rural,-101.25285,20.48429,3,PRIMARIA,General Federal
11DPR1572Y,IGNACIO RAMIREZ,1,Matutino,124,Salamanca,R Rural,-101.25347,20.49442,1,PRIMARIA,General Federal
11DPR1441F,VICENTE GUERRERO,1,Matutino,19,Salamanca,R Rural,-101.25411,20.62201,6,PRIMARIA,General Federal
11DPR0448S,LAZARO CARDENAS,1,Matutino,11,Valle de Santiago,U Urbana,-101.25413,20.42024,6,PRIMARIA,General Federal
11DPR3213Z,NICOLAS BRAVO,2,Vespertino,11,Valle de Santiago,U Urbana,-101.25413,20.42024,6,PRIMARIA,General Federal
11DPR0459Y,BENITO JUAREZ,1,Matutino,68,Valle de Santiago,R Rural,-101.255285,20.396642,12,PRIMARIA,General Federal
11DPR1723N,MIGUEL HIDALGO,1,Matutino,23,Moroleón,R Rural,-101.255824,20.135463,0,PRIMARIA,General Federal
11DPR1932T,JUAN B DIOSDADO,1,Matutino,152,Guanajuato,U Urbana,-101.256785,21.022978,18,PRIMARIA,General Federal
11DPR2810P,RICARDO FLORES MAGON,1,Matutino,192,San Felipe,R Rural,-101.257,21.46005,3,PRIMARIA,General Federal
11DPR1232Z,BENITO JUAREZ,1,Matutino,97,Irapuato,R Rural,-101.25784,20.79042,1,PRIMARIA,General Federal
11DPR1554I,AMADO NERVO,1,Matutino,152,Guanajuato,U Urbana,-101.25815,21.04152,1,PRIMARIA,General Federal
11DPR1335W,ADOLFO LOPEZ MATEOS,1,Matutino,182,Valle de Santiago,R Rural,-101.258606,20.296358,3,PRIMARIA,General Federal
11DPR3125E,JUAN DE LA BARRERA,1,Matutino,114,Irapuato,R Rural,-101.25883,20.74755,3,PRIMARIA,General Federal
